Device Name(Line)Sort Descending,Description,Device Type,Device Protocol,Status,Last Registered,Last Active,Unified CM,IPv4 Address
SEP1C36C79B25B9,SEP1C36C79B25B9,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A01FF,SEP1CE6C79A01FF,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:09:39 AM",cucmpub.hwle.com.au,10.34.20.219
SEP1CE6C79A026B,SEP1CE6C79A026B,Cisco 8945,SCCP,Registered,Now,"Feb 28, 2022 6:58:20 AM",cucmpub.hwle.com.au,10.80.20.172
SEP1CE6C79A0401,SEP1CE6C79A0401,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:43:27 AM",cucmsub1.hwle.com.au,10.44.20.161
SEP1CE6C79A07C9,SEP1CE6C79A07C9,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A0809,SEP1CE6C79A0809,Cisco 8945,SCCP,Registered,Now,"Dec 19, 2021 10:32:48 PM",cucmpub.hwle.com.au,10.34.20.220
SEP1CE6C79A14BD,S1CE6C79A14BD,Cisco 8945,SCCP,Registered,Now,"Dec 14, 2021 10:23:55 PM",cucmsub1.hwle.com.au,10.35.20.49
SEP1CE6C79A15C3,SEP1CE6C79A15C3,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 4:19:22 AM",cucmsub1.hwle.com.au,10.27.20.144
SEP1CE6C79A17A9,SEP1CE6C79A3371,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 5:55:28 AM",cucmsub1.hwle.com.au,10.24.20.174
SEP1CE6C79A18B1,SEP1CE6C79A3BF3,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 7:54:36 AM",cucmsub1.hwle.com.au,10.24.20.170
SEP1CE6C79A1F43,SEP1CE6C79A3D59 ,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:08:11 AM",cucmsub1.hwle.com.au,10.23.20.48
SEP1CE6C79A23AF,SEP1CE6C79A64C7,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 4:35:41 AM",cucmsub1.hwle.com.au,10.23.20.39
SEP1CE6C79A24BB,SEP1CE6C79A24BB,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A258D,SEP1CE6C79A64C7,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 12:13:51 AM",cucmsub1.hwle.com.au,10.23.20.54
SEP1CE6C79A27C7,SEP1CE6C79A27C7,Cisco 8945,SCCP,Registered,Now,"Mar 2, 2022 3:27:14 AM",cucmpub.hwle.com.au,10.36.20.196
SEP1CE6C79A27D5,SEP1CE6C79A27D5,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:22:28 AM",cucmpub.hwle.com.au,10.35.20.129
SEP1CE6C79A2863,SEP1CE6C79A2863,Cisco 8945,SCCP,Registered,Now,"Mar 28, 2022 10:51:02 PM",cucmsub1.hwle.com.au,10.23.20.173
SEP1CE6C79A2967,SEP1CE6C79A3AA5,Cisco 8945,SCCP,Registered,Now,"Apr 5, 2022 8:31:25 AM",cucmsub1.hwle.com.au,10.23.20.166
SEP1CE6C79A29C7,SEP1CE6C79A3BD3,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A2BB1,SEP1CE6C79A2BB1,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 6:40:45 AM",cucmsub1.hwle.com.au,10.24.20.31
SEP1CE6C79A2C1F,SEP1CE6C79A2C1F,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:08:46 AM",cucmpub.hwle.com.au,10.35.20.190
SEP1CE6C79A2D17,SEP1CE6C79A2D17,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 1:08:33 AM",cucmsub1.hwle.com.au,10.61.20.99
SEP1CE6C79A310F,SEP1CE6C79A310F,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:39:34 AM",cucmpub.hwle.com.au,10.34.20.167
SEP1CE6C79A31C9,SEP1CE6C79A31C9,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 3:32:11 AM",cucmpub.hwle.com.au,10.35.20.150
SEP1CE6C79A3247,SEP1CE6C79A3247,Cisco 8945,SCCP,Registered,Now,"Apr 1, 2022 4:19:41 AM",cucmsub1.hwle.com.au,10.22.20.142
SEP1CE6C79A32CB,SEP1CE6C79A32CB,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 4:50:29 AM",cucmsub1.hwle.com.au,10.45.20.49
SEP1CE6C79A32DD,SEP64E950CA5116,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 7:02:36 AM",cucmpub.hwle.com.au,10.35.20.78
SEP1CE6C79A3337,SEP1CE6C79A3337,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:22:09 AM",cucmsub1.hwle.com.au,10.45.20.30
SEP1CE6C79A335D,SEP1CE6C79A335D,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 6:54:52 AM",cucmsub1.hwle.com.au,10.50.20.160
SEP1CE6C79A3371,SEP1CE6C79A3371,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 3:33:05 AM",cucmsub1.hwle.com.au,10.23.20.153
SEP1CE6C79A34B1,SEP1CE6C79A34B1,Cisco 8945,SCCP,Registered,Now,"Apr 1, 2022 6:00:16 AM",cucmpub.hwle.com.au,10.35.20.46
SEP1CE6C79A3575,SEP1CE6C79A3575,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 3:18:43 AM",cucmsub1.hwle.com.au,10.46.20.51
SEP1CE6C79A372D,SEP1CE6C79A372D,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A3747,SEP1CE6C79A3747,Cisco 8945,SCCP,Registered,Now,"Apr 11, 2022 1:16:45 AM",cucmsub1.hwle.com.au,10.90.20.154
SEP1CE6C79A3793,SEP1CE6C79A2863,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 4:18:06 AM",cucmsub1.hwle.com.au,10.26.20.155
